5378,24,79
5078,79,701
5079,78,236
5744,8,100
5745,0,0
5746,12,82
5747,1,1
5072,86,1163
5073,60,319
5070,66,180
5071,71,374
5076,65,788
5077,96,883
5074,84,477
5075,44,686
5586,65,349
5587,6,57
5584,13,22
5585,654,1018
5582,55,250
5580,28,66
5581,10,27
5621,178,1726
5589,110,400
4981,298,2263
4980,69,259
4868,10,133
4982,185,1564
4985,80,316
4984,14,398
4987,434,997
4986,380,1527
4862,1,4
4863,1,4
4860,5,20
4861,1,2
4866,0,0
4867,38,118
4864,2,11
2409,1,1
5380,100,420
5267,11,49
5544,1,1
5384,2,7
5385,43,250
5386,13,104
5387,50,385
5389,237,736
5593,5,15
5592,21,57
5263,76,341
1959,74,288
5262,33,173
5261,11,147
5260,30,90
5613,1,3
5525,18,86
5302,39,341
5303,98,334
5616,26,108
5306,1,2
5494,14,53
5495,40,97
5496,61,470
5490,23,129
5493,1,6
5252,6,11
5253,19,384
5250,10,28
5251,86,533
5256,7,45
5255,36,239
5313,5,23
5312,19,190
5258,68,87
5259,8,37
5316,11,119
5315,11,49
5314,40,429
5548,8,29
5407,85,267
5406,327,1947
5405,3,41
5404,12,36
5403,190,751
4828,309,1121
5401,38,388
5400,6,12
4829,316,912
5230,37,260
5231,1,1
5205,19,83
5232,527,1170
5536,4,16
5233,140,1327
4822,4,11
5032,65,390
5033,49,336
5209,21,149
5236,14,62
5208,72,168
4945,5,14
4944,0,0
4947,1,7
4946,20,58
4941,6,53
4940,70,199
4943,11,14
4942,46,147
4826,17,74
4827,112,686
4824,30,37
4825,24,164
4949,6,46
4823,23,89
4820,8,33
2623,16,36
2624,0,0
5783,0,0
5785,6,21
5108,75,367
5109,57,408
5102,10,97
5103,8,28
5100,81,411
5106,51,264
5107,95,500
5104,64,426
5105,83,648
5719,88,510
3446,0,0
5789,11,55
4761,14,70
4760,7,13
4763,43,215
4765,85,246
4764,13,46
4767,42,243
4766,0,0
4769,25,97
4768,114,644
6748,0,0
5219,20,81
5198,23,182
5195,10,40
5196,29,85
5191,3,4
5193,110,512
5192,50,358
5579,9,90
5595,95,683
5362,38,161
5363,337,1487
5449,31,223
5361,23,389
5366,60,293
5367,42,322
5364,1,1
5365,32,64
5443,5,7
5151,106,1011
5369,41,142
5447,42,102
5446,239,1473
5445,43,254
5444,31,126
5210,22,98
5508,44,121
5509,151,831
5506,28,288
5507,5,21
5504,7,18
5505,6,21
5502,21,75
5503,44,255
5289,211,974
5501,2,3
4909,110,1209
4908,26,98
4901,1,1
4900,9,33
4903,7,50
4902,58,317
4905,284,1673
4904,0,0
4907,298,1201
4906,647,1790
4888,4,69
4889,290,766
5149,30,46
4880,6,13
4881,3,12
4882,7,14
4883,31,100
5069,68,294
4885,4,10
4886,26,287
4887,42,185
5753,4,9
5752,3,5
5751,0,0
5750,82,176
5757,0,0
5756,5,15
5755,0,0
5574,2,3
5429,24,115
5759,1,2
5758,0,0
4875,2,14
4874,1,1
4877,0,0
4876,3,37
4871,111,207
4870,8,16
4873,22,75
4872,1,1
5599,55,213
5598,11,35
5610,14,72
5611,29,301
4879,15,110
4878,1,1
5614,6,22
5615,16,133
5743,15,98
4978,2,33
4979,7,38
4974,9,87
4975,60,311
4976,7,27
4970,0,0
4971,17,42
4972,6,13
4973,22,156
5393,17,32
5390,9,45
5395,10,28
